OECD PIPELINE FINAL AUDIT - 2026-03-25 18:00:10.229999
Total Jobs Tagged: 0

   SIC_Code  total_jobs  any_data_intensive_jobs  total_data_share  year  GVA_basic_prices      COMP_EMP  alpha_low  alpha_avg  alpha_sector  total_investment_sector  inv_avg_tot  inv_low_tot  inv_raw_wages  inv_share_gva_sector  inv_share_gva_avg  inv_share_gva_low  inv_share_gva_raw
25      R-T    0.351404                      0.0               0.0  2022      7.464500e+10  3.972400e+10       1.58       3.62          3.06                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
26        A    0.018484                      0.0               0.0  2022      1.783900e+10  4.840000e+09       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
27      M-N    1.583838                      0.0               0.0  2022      3.404240e+11  2.150430e+11       1.58       3.62          2.79                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
28        L    0.137410                      0.0               0.0  2022      3.468490e+11  2.011400e+10       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
29      O-Q    2.047407                      0.0               0.0  2022      4.732160e+11  3.664750e+11       1.58       3.62          2.07                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
30        K    0.817139                      0.0               0.0  2023      2.040460e+11  9.903700e+10       1.58       3.62          3.91                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
31        F    0.689735                      0.0               0.0  2023      1.484570e+11  6.050900e+10       1.58       3.62          6.64                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
32      B-E    1.423551                      0.0               0.0  2023      3.378890e+11  1.578710e+11       1.58       3.62          6.45                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
33        J    2.916213                      0.0               0.0  2023      1.522970e+11  1.005670e+11       1.58       3.62          2.97                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
34      G-I    1.010716                      0.0               0.0  2023      4.017280e+11  2.655980e+11       1.58       3.62          2.95                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
35      R-T    0.351404                      0.0               0.0  2023      7.464500e+10  3.972400e+10       1.58       3.62          3.06                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
36        A    0.018484                      0.0               0.0  2023      1.783900e+10  4.840000e+09       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
37      M-N    1.583838                      0.0               0.0  2023      3.404240e+11  2.150430e+11       1.58       3.62          2.79                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
38        L    0.137410                      0.0               0.0  2023      3.468490e+11  2.011400e+10       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
39      O-Q    2.047407                      0.0               0.0  2023      4.732160e+11  3.664750e+11       1.58       3.62          2.07                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
40        K    0.817139                      0.0               0.0  2024      2.040460e+11  9.903700e+10       1.58       3.62          3.91                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
41        F    0.689735                      0.0               0.0  2024      1.484570e+11  6.050900e+10       1.58       3.62          6.64                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
42      B-E    1.423551                      0.0               0.0  2024      3.378890e+11  1.578710e+11       1.58       3.62          6.45                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
43        J    2.916213                      0.0               0.0  2024      1.522970e+11  1.005670e+11       1.58       3.62          2.97                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
44      G-I    1.010716                      0.0               0.0  2024      4.017280e+11  2.655980e+11       1.58       3.62          2.95                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
45      R-T    0.351404                      0.0               0.0  2024      7.464500e+10  3.972400e+10       1.58       3.62          3.06                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
46        A    0.018484                      0.0               0.0  2024      1.783900e+10  4.840000e+09       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
47      M-N    1.583838                      0.0               0.0  2024      3.404240e+11  2.150430e+11       1.58       3.62          2.79                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
48        L    0.137410                      0.0               0.0  2024      3.468490e+11  2.011400e+10       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
49      O-Q    2.047407                      0.0               0.0  2024      4.732160e+11  3.664750e+11       1.58       3.62          2.07                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
50        K    0.817139                      0.0               0.0  2025      2.040460e+11  9.903700e+10       1.58       3.62          3.91                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
51        F    0.689735                      0.0               0.0  2025      1.484570e+11  6.050900e+10       1.58       3.62          6.64                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
52      B-E    1.423551                      0.0               0.0  2025      3.378890e+11  1.578710e+11       1.58       3.62          6.45                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
53        J    2.916213                      0.0               0.0  2025      1.522970e+11  1.005670e+11       1.58       3.62          2.97                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
54      G-I    1.010716                      0.0               0.0  2025      4.017280e+11  2.655980e+11       1.58       3.62          2.95                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
55      R-T    0.351404                      0.0               0.0  2025      7.464500e+10  3.972400e+10       1.58       3.62          3.06                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
56        A    0.018484                      0.0               0.0  2025      1.783900e+10  4.840000e+09       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
57      M-N    1.583838                      0.0               0.0  2025      3.404240e+11  2.150430e+11       1.58       3.62          2.79                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
58        L    0.137410                      0.0               0.0  2025      3.468490e+11  2.011400e+10       1.58       3.62          3.62                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
59      O-Q    2.047407                      0.0               0.0  2025      4.732160e+11  3.664750e+11       1.58       3.62          2.07                      0.0          0.0          0.0            0.0                   0.0                0.0                0.0                0.0
